id,word,level_number,reading_id,created_at,action,protected
4c474fa5-511f-4c78-a86a-4eb41b444be0,"share",0,13869905-caef-4cce-8c7b-e8881aa91955,Wed Mar 18 2026 07:38:40 GMT+0300 (Arabian Standard Time),KEEP,NO
c35b11fb-12d5-49e1-b0c0-13ab25a81da6,"share",0,97e8ad3c-e117-4146-9408-18a8d3f3e9d3,Wed Mar 18 2026 07:39:40 GMT+0300 (Arabian Standard Time),DELETE,NO
29517efe-10c7-448d-b5ca-284b84168063,"sleep",0,fea17f39-b8f2-4209-a26b-cf28bbf4e19e,Wed Mar 18 2026 07:23:07 GMT+0300 (Arabian Standard Time),KEEP,NO
9a067802-646f-439c-a10a-604bd60c598c,"sleep",0,3fd7003c-21e9-4e56-a485-d4d8c0bf5bb3,Wed Mar 18 2026 07:45:07 GMT+0300 (Arabian Standard Time),DELETE,NO
909e4a37-2ec2-4ddb-a1d1-0230b636df5e,"small",0,2e187013-1c71-4646-ac26-dd5732798db7,Wed Mar 18 2026 07:32:16 GMT+0300 (Arabian Standard Time),KEEP,NO
3fe78724-223c-45dd-ba1a-c069537b2817,"small",0,74bd1592-ddb3-4a21-9a1d-a040fbcc38e9,Wed Mar 18 2026 07:33:14 GMT+0300 (Arabian Standard Time),DELETE,NO
60e14c37-4e8b-4419-b308-d2a2f7aa014b,"spend",0,a9445639-4e4d-409b-88af-32c4047e486f,Wed Mar 18 2026 07:41:55 GMT+0300 (Arabian Standard Time),KEEP,NO
fc3a46a9-1b90-4de6-a671-382d7d5bb2da,"spend",0,02b53dec-1c53-4fbe-862d-384efd3103c3,Wed Mar 18 2026 07:42:51 GMT+0300 (Arabian Standard Time),DELETE,NO
6f6042d2-fbbf-4341-b5a2-f89db49e0d70,"sun",0,1f0e71fe-2945-4173-9c98-69bf19b9839f,Wed Mar 18 2026 07:35:31 GMT+0300 (Arabian Standard Time),KEEP,NO
eb81f4b0-ae7e-4567-bbd3-110d13a566c2,"sun",0,121fd543-50bb-4ab8-a2d1-935964266e50,Wed Mar 18 2026 07:46:19 GMT+0300 (Arabian Standard Time),DELETE,NO
c21648d2-2c53-4786-8d94-0d4cb776e460,"weather",0,1f0e71fe-2945-4173-9c98-69bf19b9839f,Wed Mar 18 2026 07:35:31 GMT+0300 (Arabian Standard Time),KEEP,NO
20600445-b88b-4aad-a167-489756e005df,"weather",0,909216a9-72c2-4b78-b711-e42a21956b02,Wed Mar 18 2026 07:36:31 GMT+0300 (Arabian Standard Time),DELETE,NO
64001bad-7333-4e04-8ffe-e7fcd3c3a747,"work",0,3bb6f744-6dc9-46b5-a7f1-6651475d5484,Wed Mar 18 2026 07:22:07 GMT+0300 (Arabian Standard Time),KEEP,NO
dabca37c-9351-446e-ad2e-30ed0f171339,"work",0,a2f9c20c-c94d-4e2b-811f-f6f2851a4720,Wed Mar 18 2026 07:57:35 GMT+0300 (Arabian Standard Time),DELETE,NO
ef3870ea-fa6e-4f73-a808-a214d07633b9,"amazing",1,fd8f24d7-02c5-4c7c-a07d-99656ff83c7f,Wed Mar 18 2026 04:20:17 GMT+0300 (Arabian Standard Time),KEEP,YES
2bf18f92-068c-4fee-ae6f-1d5e9777d5a0,"amazing",1,5a3594c9-d07f-4ede-848e-23c1388e0572,Wed Mar 18 2026 04:28:48 GMT+0300 (Arabian Standard Time),DELETE,NO
543732a2-db1e-4e7c-b088-6e5ae3bf368e,"amazing",1,074b5897-63b9-4446-a7d4-6ab9f80baff9,Wed Mar 18 2026 04:36:53 GMT+0300 (Arabian Standard Time),DELETE,NO
d2615631-595b-4188-8826-3c823b845a0f,"amazing",1,a03db754-37ba-4d7c-bbaf-3ada190715bd,Wed Mar 18 2026 04:50:21 GMT+0300 (Arabian Standard Time),DELETE,NO
b40821b7-4055-488c-80e1-ebbeec4bf2df,"attracts",1,76d1051f-3e7c-4263-af48-98700a879bad,Tue Mar 17 2026 17:39:05 GMT+0300 (Arabian Standard Time),DELETE,NO
e9d20aa1-ea58-46df-9311-2b67ebcd7514,"attracts",1,5cf42d5b-f08a-45fe-b939-b102d8abd97d,Wed Mar 18 2026 04:33:57 GMT+0300 (Arabian Standard Time),KEEP,YES
f86b1084-dc2f-4d02-ab58-fa142f9f17fb,"attracts",1,635a21e7-a303-436a-8236-87daa74f7d14,Wed Mar 18 2026 04:45:13 GMT+0300 (Arabian Standard Time),DELETE,NO
8d48a8ac-43f7-4d40-b70f-9f87b6b747fc,"beautiful",1,0d3b261d-f139-4dec-9958-581a35986661,Tue Mar 17 2026 17:40:28 GMT+0300 (Arabian Standard Time),KEEP,YES
6b3683aa-3907-4a46-b73c-f31193887330,"beautiful",1,fd8f24d7-02c5-4c7c-a07d-99656ff83c7f,Wed Mar 18 2026 04:20:17 GMT+0300 (Arabian Standard Time),KEEP,YES
4e2d4470-8cb5-4269-9d4f-bcf5ceb437e8,"brave",1,2e2c9994-ce65-4c6a-aa6e-2c83cb190c72,Wed Mar 18 2026 04:40:55 GMT+0300 (Arabian Standard Time),DELETE,NO
66e30f39-c145-4e21-9fe0-fb903a8dc693,"brave",1,d060f681-7e1b-405f-9cde-7b59ab1a6354,Wed Mar 18 2026 04:42:08 GMT+0300 (Arabian Standard Time),KEEP,YES
a856017f-1a44-48f5-9b35-45bee46b5ada,"bright",1,0d3b261d-f139-4dec-9958-581a35986661,Tue Mar 17 2026 17:40:28 GMT+0300 (Arabian Standard Time),KEEP,NO
36dc8413-743f-4737-ba3c-6abc9b30e0fe,"bright",1,34f048e4-23c7-4d39-bb7a-0b3d2e63764b,Wed Mar 18 2026 05:00:15 GMT+0300 (Arabian Standard Time),DELETE,NO
42d1350a-481b-4220-a66c-e9fd84c6bf4a,"carefully",1,d7fa776f-f0dc-4585-a3ea-1046ef633e73,Wed Mar 18 2026 04:26:07 GMT+0300 (Arabian Standard Time),DELETE,NO
a80530f8-022b-4de9-ad45-0a7b81cc4dba,"carefully",1,5a3594c9-d07f-4ede-848e-23c1388e0572,Wed Mar 18 2026 04:28:48 GMT+0300 (Arabian Standard Time),KEEP,YES
d4dbecec-6df2-4b7c-852c-be8d1354a2e8,"carefully",1,635a21e7-a303-436a-8236-87daa74f7d14,Wed Mar 18 2026 04:45:13 GMT+0300 (Arabian Standard Time),DELETE,NO
341ea373-ae9b-4371-8140-3a5be8683d15,"carefully",1,33e04971-5fc5-4324-b54c-4816dc4409e6,Wed Mar 18 2026 04:46:26 GMT+0300 (Arabian Standard Time),DELETE,NO
71fdc4df-7188-43bc-9e80-62e1f755157c,"celebrate",1,76d1051f-3e7c-4263-af48-98700a879bad,Tue Mar 17 2026 17:39:05 GMT+0300 (Arabian Standard Time),KEEP,NO
3a30766e-f964-42fa-a62d-98a888bf242a,"celebrate",1,bb7081a8-7c02-4ea7-aef2-e48d77a709d2,Wed Mar 18 2026 04:53:14 GMT+0300 (Arabian Standard Time),DELETE,NO
1800836a-042f-4cd9-88da-ea7b25c1c2cd,"combine",1,0d3b261d-f139-4dec-9958-581a35986661,Tue Mar 17 2026 17:40:28 GMT+0300 (Arabian Standard Time),KEEP,YES
75c14be7-7c19-4b7a-b450-78868a817af1,"combine",1,59528adc-bf75-4881-914e-2e158527d163,Wed Mar 18 2026 04:29:59 GMT+0300 (Arabian Standard Time),DELETE,NO
9df3913f-27f4-4d73-b6b1-c75aa80036c0,"common",1,bb7081a8-7c02-4ea7-aef2-e48d77a709d2,Wed Mar 18 2026 04:53:14 GMT+0300 (Arabian Standard Time),KEEP,NO
29129ad1-891b-445a-9d27-e9da3fa038f1,"common",1,558b7c93-8dbe-473c-9db2-6421139b112f,Wed Mar 18 2026 04:56:22 GMT+0300 (Arabian Standard Time),DELETE,NO
7d979187-c774-463d-97b3-8c655e81ffab,"convenient",1,59528adc-bf75-4881-914e-2e158527d163,Wed Mar 18 2026 04:29:59 GMT+0300 (Arabian Standard Time),KEEP,YES
b5aaea0c-d41e-4357-828e-ccf2ce399899,"convenient",1,a06e190b-ff65-46b7-969a-52a6bdb21298,Wed Mar 18 2026 04:49:07 GMT+0300 (Arabian Standard Time),DELETE,NO
887ecd27-5984-49e9-bfde-88881078a0ae,"create",1,5a3594c9-d07f-4ede-848e-23c1388e0572,Wed Mar 18 2026 04:28:48 GMT+0300 (Arabian Standard Time),DELETE,NO
17836ba4-aa02-40d8-bc91-836845f3ac95,"create",1,59528adc-bf75-4881-914e-2e158527d163,Wed Mar 18 2026 04:29:59 GMT+0300 (Arabian Standard Time),DELETE,NO
a79dcdc9-afd5-4354-a274-bfc08fac0cc5,"create",1,5cf42d5b-f08a-45fe-b939-b102d8abd97d,Wed Mar 18 2026 04:33:57 GMT+0300 (Arabian Standard Time),KEEP,YES
7c9ab985-d59b-483b-9eb0-7c99df23de24,"created",1,074b5897-63b9-4446-a7d4-6ab9f80baff9,Wed Mar 18 2026 04:36:53 GMT+0300 (Arabian Standard Time),KEEP,NO
1ebd83a8-b340-4732-9a16-08f04cb97bbe,"created",1,a882498d-285d-4418-bc4b-07d9365cf79f,Wed Mar 18 2026 04:38:07 GMT+0300 (Arabian Standard Time),DELETE,NO
aa1b3a0a-3e0c-4481-b0c6-e31bb29557f4,"creative",1,5a3594c9-d07f-4ede-848e-23c1388e0572,Wed Mar 18 2026 04:28:48 GMT+0300 (Arabian Standard Time),KEEP,YES
f3377d22-3e48-4cc9-8c3b-5cd40439b8da,"creative",1,a06e190b-ff65-46b7-969a-52a6bdb21298,Wed Mar 18 2026 04:49:07 GMT+0300 (Arabian Standard Time),DELETE,NO
9e8fca4c-62c0-4f76-aae9-2c5ded74bd84,"creative",1,5f22076f-4654-4774-86f6-579b4b26700b,Wed Mar 18 2026 04:57:28 GMT+0300 (Arabian Standard Time),DELETE,NO
e49fbd55-e068-4ad0-be76-d74dcd7a7041,"discover",1,facd74da-54a6-453e-baed-aa995011718e,Wed Mar 18 2026 04:24:56 GMT+0300 (Arabian Standard Time),KEEP,NO
5ea74683-e166-4c27-a89b-3f6a79166296,"discover",1,bb7081a8-7c02-4ea7-aef2-e48d77a709d2,Wed Mar 18 2026 04:53:14 GMT+0300 (Arabian Standard Time),DELETE,NO
